"VALUES","CLASS"
7.48771318462945e-32,0
3.67013967705383e-33,0
3.31016833018323e-33,0
3.72900791514541e-33,0
3.31884301897071e-33,0
3.11064115527005e-33,0
3.08910662988621e-33,0
3.08350153933998e-33,0
3.07363542562455e-33,0
3.07266983893321e-33,0
3.07302144250495e-33,0
3.07268129887211e-33,0
3.07255148259723e-33,0
3.07264156193055e-33,0
3.0727119792202e-33,0
3.07258600111225e-33,0
3.07254915235606e-33,0
3.0725583818951e-33,0
3.07252673889978e-33,0
3.07252869676497e-33,0
3.07252840154132e-33,0
3.07252468821114e-33,0
3.07252515095554e-33,0
3.07253633915735e-33,0
3.07261921474045e-33,0
3.07507366913292e-33,0
3.07559059110495e-33,0
3.07268815691042e-33,0
3.07256911922354e-33,0
3.07273682259523e-33,0
3.07324554495577e-33,0
3.07293617449824e-33,0
3.07320814576475e-33,0
3.07385070984259e-33,0
3.07531005152248e-33,0
3.09566984552173e-33,0
3.10726992103398e-33,0
3.17982644930823e-33,0
3.28915946022291e-33,0
3.31152143954567e-33,0
3.530299300959e-33,0
4.26621808928305e-33,0
5.81256746356077e-33,0
1.36495914257537e-32,0
1.82887179098376e-31,0
3.33494019167167e-16,0
1.77642138797666e-08,0
1.72885105762153e-08,0
4.20120917611823e-07,0
5.64307043747626e-07,0
5.7377862641611e-07,0
5.32630926271783e-07,0
2.53095828580082e-07,0
3.09321096512127e-07,0
5.15589167646412e-07,0
5.40356544137073e-07,0
5.5535136777698e-07,0
5.67714304087337e-07,0
5.41598630460149e-07,0
4.48282293001643e-07,0
4.57400554328508e-07,0
5.37438856723778e-07,0
5.40211768861242e-07,0
2.13092086875417e-07,0
4.53388066692025e-07,0
5.50647222003694e-07,0
5.3372121491201e-07,0
2.81646990369554e-07,0
3.10029878241202e-07,0
4.60505145959145e-07,0
3.27342176155476e-07,0
3.61948537973e-07,0
1.98471479197956e-07,0
4.14569608752347e-13,0
1.78983333467829e-25,0
4.98754952348198e-30,0
1.19564275649157e-32,0
3.57122745970931e-33,0
3.74982019447887e-33,0
5.4033059400572e-33,0
6.10764942915316e-33,0
5.953384957445e-33,0
1.32015633828537e-32,0
2.07153769993003e-27,0
3.06747179080916e-24,0
6.02534717517294e-16,0
6.74825528084654e-22,0
7.47645300078321e-26,0
3.7451602150379e-15,0
7.92489207024226e-22,0
4.10674803706069e-21,0
1.10912470175524e-10,0
8.19925619408689e-10,0
5.0659456412062e-08,0
8.94474896321535e-11,0
1.15025736526293e-09,0
1.20305797558261e-09,0
8.26707778326146e-12,0
7.82081975873352e-09,0
2.27787719326111e-08,0
1.34714069556706e-07,0
4.46536053457616e-07,0
5.55011670645156e-07,0
5.03131876712564e-07,0
4.29784069580662e-07,0
4.22155315734614e-07,0
4.44038685777507e-07,0
4.47440872063338e-07,0
7.25723879503751e-08,0
5.33059262310222e-13,0
7.68516586929872e-15,0
1.94783546116231e-19,0
1.35064008089572e-31,0
3.95142466285663e-33,0
3.45097397754898e-33,0
3.286702147247e-33,0
3.18465369917669e-33,0
3.15628530073331e-33,0
3.15081865506932e-33,0
3.11788998440035e-33,0
3.07610193532378e-33,0
3.07345444108385e-33,0
3.07857234400899e-33,0
3.10356312858612e-33,0
3.08005942523984e-33,0
3.07410678215581e-33,0
3.07339694745294e-33,0
3.07428413884432e-33,0
3.0907247753429e-33,0
3.1104836955563e-33,0
3.10798498433585e-33,0
3.27093497122319e-33,0
2.81335933434535e-32,0
8.06182970460094e-20,0
1.06432670131531e-22,0
2.19497741726928e-32,0
1.35250210932359e-27,0
1.14749430834398e-15,0
1.3232250077607e-26,0
1.35104466326573e-32,0
4.0879618725298e-33,0
6.29982440359357e-33,0
2.56172969459915e-31,0
2.23540152746234e-29,0
7.20498543474267e-32,0
9.30551621544884e-33,0
5.7125291912148e-32,0
3.08912173818662e-30,0
5.40115799875604e-30,0
1.61364797813965e-29,0
2.84353440369526e-30,0
1.81237918804065e-29,0
5.32045361801111e-30,0
2.9748916617755e-31,0
9.45634211820221e-26,0
3.61336155130063e-17,0
4.00977230374805e-17,0
1.25289198321055e-10,0
1.70065657404314e-07,0
9.71284407704706e-08,0
1.78964589354177e-07,0
5.63839582512356e-07,0
5.76028858589248e-07,0
5.59010325042686e-07,0
5.55303874618125e-07,0
5.62699066760647e-07,0
5.65815317811341e-07,0
4.82726923536154e-07,0
5.22716377129545e-07,0
5.69072463964151e-07,0
5.68482410176795e-07,0
5.76820952291685e-07,0
5.79621246187239e-07,0
5.66787805993118e-07,0
4.87153172137138e-07,0
4.49828516065011e-07,0
3.57376591982446e-07,0
2.65838268698533e-07,0
1.33988181755231e-07,0
3.10717662472818e-09,0
9.53135610630662e-08,0
2.53442586964285e-08,0
6.55905315195697e-10,0
1.34734164720211e-11,0
4.21372585251207e-11,0
1.02818041048279e-11,0
1.6479903429719e-16,0
2.24003320153731e-21,0
5.87666538294639e-28,0
2.66906904277857e-29,0
1.084507056276e-26,0
9.24684997532046e-26,0
1.16328471869605e-29,0
1.10663031677107e-30,0
8.67828955932673e-24,0
1.47317895590634e-13,0
1.55905544222936e-23,0
3.93243754264932e-16,0
1.33448552221313e-08,0
4.82173501781345e-20,0
6.28102568305222e-31,0
7.60855147680381e-33,0
1.7411676217399e-32,0
2.26650387339606e-32,0
1.23363456644373e-32,0
3.96980167256772e-33,0
3.62190523151056e-33,0
5.1939711734813e-33,0
4.47921754189341e-33,0
3.76559078661818e-33,0
3.09717649949235e-33,0
3.09721490261933e-33,0
3.36846411721601e-33,0
3.46731607568043e-33,0
3.20937837913182e-33,0
3.0793446469659e-33,0
3.08070302540717e-33,0
3.08798287277462e-33,0
3.07618636581668e-33,0
3.07277801798268e-33,0
3.0735169681948e-33,0
3.10549343774938e-33,0
3.12691927871143e-33,0
3.14896067690677e-33,0
3.40716900847904e-33,0
3.19162958540294e-33,0
3.13299256260598e-33,0
3.33731239861558e-33,0
3.41830866195697e-33,0
3.13217872131762e-33,0
3.24289690496698e-33,0
3.58067070645884e-33,0
5.38431362230303e-33,0
1.20271859773215e-31,0
2.76355364617339e-29,0
1.53252475058454e-32,0
3.33567937082704e-33,0
3.39989971484257e-33,0
3.84396547889297e-33,0
7.31258682935774e-33,0
4.68059007125767e-32,0
2.28353516625927e-31,0
6.37848633800436e-32,0
8.67795820900054e-32,0
5.03943971317246e-32,0
1.26502795683062e-31,0
1.09440815118106e-31,0
1.34896846560132e-32,0
9.1280464514624e-33,0
1.28797112630778e-32,0
2.69698589461362e-32,0
1.29270719853685e-32,0
3.92983478785564e-33,0
3.34906150407337e-33,0
3.12341504359713e-33,0
3.17867987878468e-33,0
5.14241142073709e-33,0
5.25954957413784e-33,0
3.45129178868915e-33,0
4.30274771986249e-33,0
2.88967843159746e-32,0
5.14603014295784e-31,0
4.13727992293032e-31,0
3.07917907740777e-32,0
1.58133811630638e-25,0
4.6308924988675e-17,0
3.81640852418854e-15,0
6.77383952782981e-13,0
1.51589670171994e-13,0
8.34096521401067e-12,0
3.87192612770519e-08,0
7.56060382177504e-10,0
8.59768299897235e-19,0
3.48896573302279e-17,0
3.70069037810822e-11,0
3.09252964283953e-08,0
2.52885011650325e-07,0
4.67531275731919e-07,0
5.71814122135868e-07,0
5.67913477181303e-07,0
5.62080562309817e-07,0
5.39086452682529e-07,0
5.68843290288934e-07,0
5.79286548013179e-07,0
5.80837205932013e-07,0
5.77953732396526e-07,0
5.71748955869349e-07,0
5.80771398923384e-07,0
5.80480175028044e-07,0
5.79923625601982e-07,0
5.81061012374878e-07,0
5.80548254531249e-07,0
5.78849977953863e-07,0
5.74745669425317e-07,0
5.78624583109995e-07,0
5.79540659082356e-07,0
5.79606736800722e-07,0
5.80746410373247e-07,0
5.80819209256395e-07,0
5.81018414228911e-07,0
5.79484340663676e-07,0
5.78273638739553e-07,0
5.7879099887031e-07,0
5.75675881165232e-07,0
5.68694215732201e-07,0
5.5215391872929e-07,0
5.40902697016933e-07,0
4.97000428962388e-07,0
2.06476957649733e-07,0
3.32494746815934e-08,0
2.44171999441278e-13,0
1.55287955495908e-29,0
3.39037600560415e-27,0
1.39356157781303e-31,0
3.43599302284622e-33,0
3.13480966771927e-33,0
3.19680398695365e-33,0
3.10913704148989e-33,0
3.12018581044079e-33,0
3.1597676465683e-33,0
3.08798964255176e-33,0
3.08370207544433e-33,0
3.07647033657734e-33,0
3.08325053900896e-33,0
3.10287563659519e-33,0
3.07692055394489e-33,0
3.09168307135368e-33,0
3.16920941021556e-33,0
3.11098657594329e-33,0
3.07566115539488e-33,0
3.07704339783986e-33,0
3.08617077436554e-33,0
3.07730752947582e-33,0
3.07964066779957e-33,0
3.11085413300081e-33,0
3.22669723987203e-33,0
3.22731106474379e-33,0
3.36508069616461e-33,0
6.80433444097254e-33,0
6.99737309373247e-32,0
4.2804866998594e-31,0
1.90909230777281e-30,0
1.47086588906326e-27,0
1.0476892845233e-12,0
3.19803010697004e-14,0
1.13373487928342e-09,0
2.66872938015813e-07,0
9.72455621146983e-09,0
1.87454898811177e-10,0
1.77230132386822e-09,0
2.67542473325248e-14,0
8.30808520190346e-15,0
1.18370238672118e-26,0
1.51441194691605e-32,0
3.10188821344355e-32,0
5.16632406228366e-20,0
3.6693464050251e-16,0
1.39118487964676e-14,0
4.49225933991026e-12,0
2.27941331166134e-11,0
1.46330674513091e-09,0
6.14024196670117e-09,0
8.27503856853513e-19,0
1.99036252999709e-13,0
7.82388885342428e-15,0
1.23576541962261e-14,0
1.02604984666749e-10,0
2.84635821283035e-17,0
3.83970725507666e-14,0
1.13526299651316e-13,0
1.61563518300504e-25,0
2.628611489112e-24,0
8.74912076280122e-16,0
3.02957498458691e-22,0
1.30942902988449e-29,0
2.74369209272112e-23,0
3.65778655258351e-20,0
9.37014315923806e-21,0
5.81274831106872e-11,0
3.50213402350482e-14,0
2.04639414940285e-20,0
7.86675811575912e-27,0
2.54689583568733e-19,0
6.82903202494792e-08,0
3.54025649445857e-08,0
5.32938841118126e-10,0
5.07832075625403e-08,0
5.00579063103285e-07,0
5.72978510914806e-07,0
5.67178776340397e-07,0
5.79394266136111e-07,0
5.80974207129293e-07,0
5.81270973847521e-07,0
5.81391256003699e-07,0
5.81405941724519e-07,0
5.81405768546478e-07,0
5.81404808406639e-07,0
5.81380510591879e-07,0
5.81380703676215e-07,0
5.81367059575947e-07,0
5.81403114477645e-07,0
5.81407192899742e-07,0
5.81310476908822e-07,0
5.80844345071493e-07,0
5.81077666678775e-07,0
5.80665104582881e-07,0
5.81340813471574e-07,0
5.81400153261925e-07,0
5.81358592985794e-07,0
5.81051344568955e-07,0
5.81127537123275e-07,0
5.81253264694196e-07,0
5.80653865848578e-07,0
5.76364306721863e-07,0
5.57647576356538e-07,0
5.6137748850736e-07,0
5.53068788759621e-07,0
5.48894472653035e-07,0
5.71796598696349e-07,0
5.6618929717162e-07,0
4.2779544535807e-07,0
3.9991596635484e-07,0
5.08609096279948e-07,0
4.75646385927453e-07,0
3.86614250823812e-07,0
5.462361684228e-09,0
1.28575944942587e-07,0
1.04485587149829e-07,0
4.76924782019285e-09,0
4.9552657198042e-10,0
1.18680034264054e-16,0
4.20671578559141e-13,0
5.0108978189978e-10,0
5.7793939550446e-10,0
4.99110407278298e-07,0
5.78666087635193e-07,0
5.77315295684978e-07,0
5.72603894745901e-07,0
5.78630264973246e-07,0
5.81275963561514e-07,0
5.81118794271992e-07,0
5.80522525287094e-07,0
5.80964061581691e-07,0
5.80959167082556e-07,0
5.80794577566442e-07,0
5.7929886812739e-07,0
5.80191809013779e-07,0
5.81245405264155e-07,0
5.80548010310625e-07,0
5.80816302175262e-07,0
5.80831481397849e-07,0
5.80491375650401e-07,0
5.80590887234424e-07,0
5.79414790844431e-07,0
5.75700080291866e-07,0
5.70778654986697e-07,0
5.63572654645169e-07,0
5.3174069517477e-07,0
5.05393650296757e-07,0
5.57704218934933e-07,0
4.85377495221323e-07,0
3.93550854897902e-07,0
4.72983064461067e-08,0
2.01702741301402e-07,0
1.78293688469644e-07,0
3.82389709986022e-07,0
3.3247079564073e-07,0
6.35631869095947e-09,0
9.05914011044596e-19,0
7.14272434591118e-18,0
4.30694497477896e-22,0
2.42835106096173e-09,0
7.46244029345359e-08,0
1.53217143560832e-07,0
1.75829612431939e-07,0
1.80554449969477e-07,0
5.12331521353113e-08,0
2.83647786353914e-07,0
4.97528292154611e-07,0
5.4485153915022e-07,0
5.40226056529885e-07,0
1.94725865476365e-07,0
8.41456016105045e-08,0
4.74727485933533e-07,0
4.70732753819183e-07,0
4.79779827282608e-07,0
5.36461636873981e-07,0
5.66170331785616e-07,0
5.80578042879028e-07,0
5.802580429502e-07,0
5.80304431167888e-07,0
5.81112740703727e-07,0
5.81227231964385e-07,0
5.81308282037555e-07,0
5.81127454320166e-07,0
5.80413908299657e-07,0
5.8122273509296e-07,0
5.81327155133945e-07,0
5.81401981757801e-07,0
5.81373943246794e-07,0
5.81401182507999e-07,0
5.81409064881467e-07,0
5.81293858045922e-07,0
5.80566508091439e-07,0
5.80982599149657e-07,0
5.80564676880071e-07,0
5.75784894192428e-07,0
5.69061286076741e-07,0
5.80002548215484e-07,0
5.81225658103486e-07,0
5.81210939304965e-07,0
5.81301041094536e-07,0
5.81376353112695e-07,0
5.8127296420086e-07,0
5.81266540825611e-07,0
5.81338610822227e-07,0
5.81398931947528e-07,0
5.81410238169711e-07,0
5.81404204380646e-07,0
5.81336727623631e-07,0
5.81001119567623e-07,0
5.7985755361875e-07,0
5.79704646603359e-07,0
5.78775483756788e-07,0
5.76413439043223e-07,0
5.75811897465574e-07,0
5.65989775904588e-07,0
5.34151164528646e-07,0
3.49217248420968e-07,0
5.165449893019e-07,0
5.71133725117628e-07,0
5.79602191679771e-07,0
5.80873895081625e-07,0
5.79561757037714e-07,0
5.79470359251457e-07,0
5.80736362394296e-07,0
5.79202604379016e-07,0
5.35683916764091e-07,0
2.00531166785212e-07,0
2.60474012554718e-09,0
9.65077635307894e-08,0
1.39096018882164e-07,0
1.53516811103959e-09,0
2.88132643635838e-10,0
3.28196096816846e-08,0
1.78037212207838e-07,0
4.69037000834685e-07,0
5.63254636903746e-07,0
5.76922686663235e-07,0
5.76561007777437e-07,0
5.47702288204088e-07,0
2.69595943503974e-07,0
4.81773820871097e-07,0
5.72161940202518e-07,0
5.73609705063982e-07,0
5.74122745918912e-07,0
5.28903110644689e-07,0
5.69159566708202e-07,0
5.80964103372475e-07,0
5.81123984565949e-07,0
5.79984937687727e-07,0
5.73978980486966e-07,0
5.40234705241002e-07,0
5.68264914954484e-07,0
5.77809934740325e-07,0
5.80865620083191e-07,0
5.81369487665664e-07,0
5.81388343655426e-07,0
5.81358045027146e-07,0
5.81320922108269e-07,0
5.81127153650283e-07,0
5.81275823379002e-07,0
5.81367779664093e-07,0
5.8079627828151e-07,0
5.79340565422097e-07,0
5.80092941273183e-07,0
5.81245741814675e-07,0
5.81270039692674e-07,0
5.81238947676069e-07,0
5.80876347522664e-07,0
5.79304135097463e-07,0
5.76611301840062e-07,0
5.78584627139334e-07,0
5.77763373386682e-07,0
5.80061347165008e-07,0
5.8083782684174e-07,0
5.8073811503904e-07,0
5.80642644326683e-07,0
5.81218166708903e-07,0
5.81353026262772e-07,0
5.81295749529413e-07,0
5.80163358858061e-07,0
5.77077738909331e-07,0
5.80705252591524e-07,0
5.81055426140509e-07,0
5.78464012799078e-07,0
5.77467972677509e-07,0
5.80308480234115e-07,0
5.81150443110492e-07,0
5.81233046694512e-07,0
5.8046583410305e-07,0
5.80410842353241e-07,0
5.80832737551018e-07,0
5.81282603482021e-07,0
5.81387184090344e-07,0
5.80833370514845e-07,0
5.78122178289222e-07,0
5.80689251425641e-07,0
5.7337390112205e-07,0
5.7071696219192e-07,0
5.79580321769915e-07,0
5.80125565264311e-07,0
5.79759351999205e-07,0
5.80665513954441e-07,0
5.80518081153819e-07,0
5.79987768672332e-07,0
5.80345696179581e-07,0
5.80956544126156e-07,0
5.81237047753966e-07,0
5.81347215421052e-07,0
5.81378889865587e-07,0
5.8138899207797e-07,0
5.81375709891861e-07,0
5.81350082025303e-07,0
5.81075338492681e-07,0
5.81228323861927e-07,0
5.81395139509672e-07,0
5.81406310723135e-07,0
5.81404630657308e-07,0
5.81398152655616e-07,0
5.81402125855681e-07,0
5.81398205942276e-07,0
5.8141037326857e-07,0
5.81388525940434e-07,0
5.77338724871887e-07,0
8.66322007736882e-24,0
4.10987031334237e-28,0
5.15334526986799e-07,0
5.23794601112748e-07,0
2.78859399135145e-15,0
4.61346872462734e-22,0
6.00626276237549e-27,0
2.09817624464329e-28,0
2.09789383949795e-28,0
2.09666046351455e-28,0
2.09429891858643e-28,0
2.0926138248393e-28,0
2.0882009743177e-28,0
2.15668045411691e-28,0
5.76300694071648e-07,0
5.77368394323362e-07,0
5.7362570362278e-07,0
5.06882624393195e-07,0
2.60076331093223e-23,0
3.58123869403762e-12,0
7.32046962513622e-24,0
1.91917702593697e-28,0
1.8933768757159e-28,0
3.53582852755058e-07,0
1.1700012553058e-08,0
7.64839955066141e-09,0
7.72487376890927e-08,0
1.16230925223711e-09,0
7.6093799944789e-13,0
2.69025603640632e-11,0
5.19970748722972e-26,0
8.44633111092116e-33,0
7.10957776459143e-33,0
1.8510065494472e-25,0
5.6799978673958e-16,0
1.40905632980271e-25,0
9.08866027970164e-28,0
1.30851829504328e-30,0
2.04005668062452e-28,0
4.38021302854127e-14,0
3.1272827123193e-13,0
6.50015912821277e-13,0
2.51336977983216e-08,0
9.73326932326491e-08,0
8.92373077382927e-22,0
1.89822666837888e-28,0
2.03524996124602e-28,0
1.86397340088516e-28,0
1.96699512746964e-28,0
2.02562446045435e-28,0
2.036175329947e-28,0
2.08359336690565e-28,0
2.090060905539e-28,0
2.08367960137604e-28,0
2.09210345387161e-28,0
2.08640508517119e-28,0
6.03760004671275e-26,0
5.71590973336962e-07,0
5.68821754985748e-07,0
5.59473266662477e-07,0
5.40661687967732e-07,0
5.60424989188261e-07,0
5.3914926470407e-07,0
4.80838204819018e-07,0
3.76741711466292e-07,0
4.95891515112654e-07,0
3.65037859667132e-07,0
2.13881646119926e-08,0
7.33870238327693e-08,0
3.01815825432889e-08,0
4.14376276400796e-09,0
1.13414528780743e-17,0
2.42706922254371e-27,0
1.61855225693322e-23,0
4.40142985828143e-15,0
4.33767680130184e-20,0
4.61286090208225e-23,0
1.78536929945236e-19,0
9.07745936493715e-08,0
4.22388552056709e-07,0
1.420765623009e-07,0
4.2803077892033e-07,0
5.73805348923299e-07,0
5.76340118406153e-07,0
5.78279181104124e-07,0
5.77462487806396e-07,0
5.54886410923098e-07,0
5.45570800514724e-07,0
5.72403837685015e-07,0
5.79152675927357e-07,0
5.55302098936245e-07,0
5.56895984570706e-07,0
5.79042063541841e-07,0
5.75349461942549e-07,0
5.28429072332371e-07,0
5.63293254637246e-07,0
5.77192853359863e-07,0
5.7954881206594e-07,0
5.81037492190864e-07,0
5.79823659723292e-07,0
5.5748204843155e-07,0
1.76899880039573e-07,0
8.30402968443179e-15,0
9.94039928099325e-29,0
9.02439288313039e-29,0
4.15002565119826e-29,0
8.37082099259367e-29,0
4.91889064650614e-07,0
1.31127650568344e-12,0
7.60706707368751e-29,0
6.84191001551652e-12,0
3.55643189204905e-18,0
4.50925691536995e-30,0
1.79365929783234e-32,0
4.26171806026561e-33,0
3.26147208191007e-33,0
3.54074803330148e-33,0
1.31369565124125e-32,0
5.31826731943634e-24,0
1.06429260287653e-08,0
1.3532323664278e-29,0
2.06995828592692e-34,0
2.24624674051049e-51,0
1.03017130963514e-25,0
1.48013746671587e-31,0
9.62236161997621e-31,0
1.30623848611177e-30,0
5.49508537806498e-35,0
4.96603082074464e-35,0
7.47131871173187e-13,0
7.67340332117524e-09,0
1.89595005060583e-07,0
2.50156543011102e-07,0
1.33863351268438e-07,0
6.09570242435538e-08,0
1.99248218807473e-08,0
1.19152012317434e-15,0
2.80618382586559e-29,0
4.6205427467168e-26,0
1.13593245480493e-30,0
1.79672391081369e-31,0
3.35910079343742e-29,0
4.16304867825194e-31,0
4.57695130302971e-29,0
1.44683645136723e-31,0
1.35579257120888e-32,0
2.17190302699308e-32,0
3.58662059370752e-32,0
2.35675771297357e-32,0
8.78352803254949e-33,0
4.30177085865852e-33,0
3.31078265537792e-33,0
3.38671599249678e-33,0
3.53739641552992e-33,0
3.22989900473928e-33,0
3.36028880905477e-33,0
4.05659091351785e-33,0
4.41373813680646e-33,0
4.3672908003208e-33,0
3.26956353908379e-33,0
3.17555391917232e-33,0
3.57491946315616e-33,0
5.57381543424338e-33,0
7.16584759938486e-33,0
7.89826535481714e-33,0
6.03517584147198e-33,0
4.13166800556577e-33,0
4.46326237862715e-33,0
1.5059278998478e-30,0
1.8037437190007e-15,0
3.23816495733944e-08,0
5.14976939736112e-30,0
1.00978651163853e-37,0
6.56843778637041e-31,0
1.25292534435741e-28,0
7.98949895826392e-31,0
3.73785646170205e-32,0
3.11911549260552e-29,0
1.3244124067781e-30,0
3.76565432702377e-36,0
6.60694767749923e-13,0
1.80467017042218e-10,0
5.15799676735438e-18,0
6.57904306453843e-25,0
2.47288233856516e-19,0
1.07334203310265e-29,0
6.10018302990305e-33,0
4.91711998600162e-33,0
9.82983375650927e-33,0
4.89478196642053e-33,0
3.23877298545899e-33,0
1.64666779963783e-34,0
3.23774732142855e-33,0
3.40911072094803e-33,0
3.51157923446677e-33,0
3.85311078324857e-33,0
3.4501386846047e-33,0
3.18439535369977e-33,0
3.13661499709549e-33,0
3.21899752558858e-33,0
3.40256779719697e-33,0
3.14990258525556e-33,0
3.13248713569728e-33,0
3.13243215428237e-33,0
