"VALUES","CLASS"
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
9.10674222694513e-09,0
