"VALUES","CLASS"
9.97615912094848e-17,0
9.97615912094848e-17,0
9.97615912094848e-17,0
9.97615912094848e-17,0
9.97615912094848e-17,0
9.97615912094848e-17,0
9.97615912094848e-17,0
9.97615912094848e-17,0
9.97615912094848e-17,0
9.97615912094848e-17,0
9.97615912094848e-17,0
9.97615912094848e-17,0
9.97615912094848e-17,0
9.97615912094848e-17,0
9.97615912094848e-17,0
9.97615912094848e-17,0
9.97615912094848e-17,0
9.97615912094848e-17,0
9.97615912094848e-17,0
9.97615912094848e-17,0
9.97615912094848e-17,0
9.97615912094848e-17,0
9.97615912094848e-17,0
9.97615912094848e-17,0
9.97615912094848e-17,0
9.97615912094848e-17,0
9.97615912094848e-17,0
9.97615912094848e-17,0
9.97615912094848e-17,0
9.97615912094848e-17,0
9.97615912095089e-17,0
9.9761591211381e-17,0
9.97615912217748e-17,0
9.97615912248725e-17,0
9.97615912100979e-17,0
9.97615912095209e-17,0
9.97615912096017e-17,0
9.97615912095953e-17,0
9.97615912099526e-17,0
9.97615912103077e-17,0
9.97615912112462e-17,0
9.97615912318858e-17,0
9.97615922076799e-17,0
9.9761591628284e-17,0
9.97615912612903e-17,0
9.97615912192038e-17,0
9.97615912114908e-17,0
9.97615912190564e-17,0
9.97615912154604e-17,0
9.97615912096804e-17,0
9.97615912096988e-17,0
9.9761591210003e-17,0
9.97615912094925e-17,0
9.97615912094904e-17,0
9.97615912096577e-17,0
9.97615912134168e-17,0
9.97615915321435e-17,0
9.97615916068803e-17,0
9.9761591210682e-17,0
9.97615912095018e-17,0
9.97615912094855e-17,0
9.97615912094848e-17,0
9.97615912094848e-17,0
9.97615912094848e-17,0
9.97615912094855e-17,0
9.97615912095379e-17,0
9.97615912132693e-17,0
9.97615912132027e-17,0
9.97615912095741e-17,0
9.97615912094904e-17,0
9.97615912094848e-17,0
9.97615912094848e-17,0
9.97615912094855e-17,0
9.97615912094855e-17,0
9.97615912094848e-17,0
9.97615912094848e-17,0
9.9761591209623e-17,0
9.97615912101617e-17,0
9.97615912253035e-17,0
9.97615912394031e-17,0
9.97615912105977e-17,0
9.9761591209572e-17,0
9.97615912098888e-17,0
9.97615912136181e-17,0
9.97615912599896e-17,0
9.97615912395066e-17,0
9.97615912169348e-17,0
9.97615912118509e-17,0
9.9761591210083e-17,0
9.97615912096251e-17,0
9.97615912095429e-17,0
9.9761591209494e-17,0
9.97615912094876e-17,0
9.97615912094848e-17,0
9.97615912094848e-17,0
9.97615912094848e-17,0
9.97615912094848e-17,0
9.97615912094848e-17,0
9.97615912094848e-17,0
9.97615912094848e-17,0
9.97615912094848e-17,0
9.97615912094848e-17,0
9.97615912094848e-17,0
9.97615912094848e-17,0
9.97615912094848e-17,0
9.97615912094848e-17,0
9.97615912094848e-17,0
9.97615912094848e-17,0
9.97615912094848e-17,0
9.97615912094848e-17,0
9.97615912094848e-17,0
9.97615912094848e-17,0
9.97615912094848e-17,0
9.97615912094848e-17,0
9.97615912094848e-17,0
9.97615912094848e-17,0
9.97615912094848e-17,0
9.97615912094848e-17,0
9.97615912094848e-17,0
9.97615912094848e-17,0
9.97615912094848e-17,0
9.97615912094848e-17,0
9.97615912094848e-17,0
9.97615912094848e-17,0
9.97615912094848e-17,0
9.97615912094848e-17,0
9.97615912094848e-17,0
9.97615912094848e-17,0
9.97615912094848e-17,0
9.97615912094855e-17,0
9.97615912095025e-17,0
9.97615912257146e-17,0
9.97615912914979e-17,0
9.97615912115553e-17,0
9.97615912111966e-17,0
9.9761591229285e-17,0
9.9761591215169e-17,0
9.9761591209925e-17,0
9.97615912306113e-17,0
9.97616002504255e-17,0
9.97617063993634e-17,0
9.97615975851945e-17,0
9.97615913551376e-17,0
9.97615912443438e-17,0
9.97615912599605e-17,0
9.97615914416427e-17,0
9.97615914796731e-17,0
9.97615912266184e-17,0
9.97615912098909e-17,0
9.97615912095486e-17,0
9.97615912103595e-17,0
9.97615912120338e-17,0
