"VALUES","CLASS"
6.22569745916491e-95,0
1.76846869396282e-79,0
1.76846869396282e-79,0
1.76846869396282e-79,0
1.76846869396282e-79,0
1.76846869396282e-79,0
1.76846869396282e-79,0
6.22569745916491e-95,0
6.22569745916491e-95,0
1.76846869396282e-79,0
1.76846869396282e-79,0
6.22569745916491e-95,0
1.76846869396282e-79,0
1.76846869396282e-79,0
6.22569745916491e-95,0
6.22569745916491e-95,0
6.22569745916491e-95,0
1.76846869396282e-79,0
1.76845546209291e-79,0
6.22569745916491e-95,0
6.22569745916491e-95,0
6.22569745916491e-95,0
1.61193200214484e-92,0
6.22569745916491e-95,0
6.22569745916491e-95,0
6.47881863536425e-81,0
1.76846869396282e-79,0
1.76847061299548e-79,0
6.22569745916491e-95,0
6.22569745916491e-95,0
6.22569745916491e-95,0
1.76846869396282e-79,0
6.22569745916491e-95,0
6.22569745916491e-95,0
6.22569745916491e-95,0
1.76846869396282e-79,0
1.76846869396282e-79,0
4.01187262023075e-39,0
6.22569745916491e-95,0
6.22569745916491e-95,0
6.22569745916491e-95,0
6.22569745916491e-95,0
1.76846869396282e-79,0
6.22569745916491e-95,0
6.22569745916491e-95,0
1.61193200214484e-92,0
1.76846869396282e-79,0
6.22569745916491e-95,0
6.22569745916491e-95,0
6.22569745916491e-95,0
6.22569745916491e-95,0
6.22569745916491e-95,0
6.22569745916491e-95,0
1.76846869396282e-79,0
6.22569745916491e-95,0
6.22569745916491e-95,0
6.22569745916491e-95,0
8.78855370363275e-37,0
1.76846869387069e-79,0
1.61193210269033e-92,0
3.95232112528365e-58,0
1.76847103220267e-79,0
3.87030501248227e-58,0
3.86952726013565e-58,0
6.22569750509557e-95,0
1.04409524903909e-55,0
3.95232185899589e-58,0
1.48658725127554e-55,0
1.12262751012164e-42,0
1.76846869396282e-79,0
8.00148853351979e-95,0
1.76846869396282e-79,0
6.22570036483723e-95,0
1.76846869396282e-79,0
1.76846869396282e-79,0
6.22569745916491e-95,0
6.22569745916491e-95,0
6.22569745916491e-95,0
4.01187262023075e-39,0
6.46279166076345e-95,0
6.58619388375731e-92,0
1.76846869396282e-79,0
1.76848523506844e-79,0
1.61193201576182e-92,0
4.01187262023075e-39,0
1.76846869396282e-79,0
1.76846869396282e-79,0
6.22569745916491e-95,0
1.7685127619604e-79,0
1.79815344035919e-79,0
3.9523218604389e-58,0
3.99911222640136e-39,0
1.76846869396282e-79,0
1.61193549078834e-92,0
4.0118563742314e-39,0
1.76846869396282e-79,0
6.22569745916491e-95,0
1.76846869396282e-79,0
8.78851933872254e-37,0
4.01187262023075e-39,0
1.76846869396282e-79,0
6.22569745916491e-95,0
6.22569745916508e-95,0
6.83028256773332e-82,0
1.76846869396282e-79,0
1.76846869396282e-79,0
1.76841982062951e-79,0
1.76846869396282e-79,0
1.76846869405113e-79,0
6.8302825677304e-82,0
1.76846869396282e-79,0
3.40177943306034e-51,0
4.00705211594045e-39,0
4.01187262023075e-39,0
4.01187262023075e-39,0
1.54980823971501e-41,0
4.01187262023075e-39,0
4.01187262023075e-39,0
4.01187262023075e-39,0
4.01187262023075e-39,0
1.76846869396282e-79,0
4.34145127799788e-79,0
4.01186388958955e-39,0
1.76846869396282e-79,0
6.83028256804644e-82,0
6.83028612926166e-82,0
1.76910737689583e-79,0
4.01187262023075e-39,0
1.54943499678912e-41,0
8.78851933874077e-37,0
4.01187262023075e-39,0
4.01187262023075e-39,0
4.01187262023075e-39,0
4.01187262023075e-39,0
4.01187262023075e-39,0
4.01187262023075e-39,0
2.05616193095884e-41,0
4.01187262023075e-39,0
1.54948875600225e-41,0
1.76846880926406e-79,0
6.8302825677306e-82,0
4.01187262022916e-39,0
6.83109174416647e-82,0
6.22569745916491e-95,0
1.37629827243494e-41,0
1.54948875914023e-41,0
1.54948875914303e-41,0
1.52235891713051e-41,0
4.01187262023075e-39,0
6.22569745916491e-95,0
1.94696536007446e-79,0
6.22569745916491e-95,0
6.8302825677306e-82,0
6.22569745916491e-95,0
6.8302825677306e-82,0
1.76846868832247e-79,0
8.78851933872254e-37,0
6.22569745916491e-95,0
6.22569745916491e-95,0
6.22569745916491e-95,0
6.22569745916491e-95,0
8.78851933872254e-37,0
6.83028256772749e-82,0
6.22569745916491e-95,0
4.01187262023075e-39,0
0.847981384120493,0
1.549499500853e-41,0
4.01187262023075e-39,0
1.18005858968648e-81,0
6.83087666744692e-82,0
1.76846869396292e-79,0
8.78851933872254e-37,0
6.22569745916491e-95,0
6.85006042053862e-82,0
6.2359221677886e-95,0
6.22569745916491e-95,0
4.01187262023075e-39,0
6.81767926963171e-82,0
1.54948875913299e-41,0
6.22569745916491e-95,0
4.01187262023075e-39,0
6.22569745916703e-95,0
4.01187262023075e-39,0
0.848001786744586,0
6.83028501772131e-82,0
4.01187262023075e-39,0
1.52947867450238e-79,0
6.22569745916491e-95,0
6.8302825677306e-82,0
1.7684687003531e-79,0
2.68589572900813e-39,0
6.22569745916491e-95,0
6.22569745916491e-95,0
6.8302825677306e-82,0
6.83028222411147e-82,0
1.76846869396116e-79,0
8.78963878049077e-37,0
6.41532143102883e-95,0
1.76846869396282e-79,0
6.22570664688749e-95,0
6.57584688335416e-95,0
4.01187262023075e-39,0
8.78851933872254e-37,0
6.83028258396574e-82,0
6.22569745916526e-95,0
0.848008233045163,0
0.848008233045528,0
1.52655042043806e-41,0
8.78852032097924e-37,0
0.848007833889548,0
4.01187262023075e-39,0
3.09093593382606e-39,0
6.22569746721307e-95,0
8.78853793711582e-37,0
4.01187261982454e-39,0
3.94112666883421e-39,0
3.95232872612025e-58,0
0.848008233045528,0
0.848008233045528,0
3.95232187336469e-58,0
0.848008233045528,0
0.815641546567747,0
8.78851933872304e-37,0
0.847946373006467,0
1.76846873956836e-79,0
6.83028856939736e-82,0
7.07919829533622e-82,0
0.848008233045528,0
0.848008233045528,0
3.9202409231061e-58,0
0.848008233045528,0
0.848008233045528,0
0.848008233045526,0
3.95045982345778e-58,0
0.848008233045528,0
0.848008233045528,0
0.848008233045528,0
0.848008233045528,0
0.848008232569419,0
3.95232301934792e-58,0
4.33526080190664e-45,0
0.848008233045528,0
7.06373997626396e-51,0
0.848008233045528,0
0.847952813521241,0
0.848008219118138,0
0.848008233045523,0
7.09777002260597e-82,0
0.848008233045528,0
4.33613522957844e-45,0
1.15596608651216e-42,0
0.848008237392777,0
0.848008233045528,0
0.848008232362343,0
0.848008233045528,0
0.848020492320042,0
0.999999999999984,0
0.848008233045528,0
0.848008233045528,0
0.848008233045528,0
0.848008233045528,0
0.848008233043516,0
0.848008233045528,0
0.848008233045528,0
0.848008233045528,0
0.848008233045528,0
7.35739405873113e-16,0
8.78853889201948e-37,0
0.824795924428108,0
0.848008234985864,0
1,0
4.33716028617756e-45,0
1.12110820828378e-42,0
0.999999999999946,0
6.83693597859129e-82,0
8.78851934116581e-37,0
8.78851933872254e-37,0
0.835825847197355,0
0.848008233045528,0
0.848008233045528,0
0.848008233045528,0
0.848008233045528,0
0.848007196158874,0
8.79108971941404e-37,0
8.78851933872254e-37,0
6.22569745916491e-95,0
9.34128100864138e-37,0
0.848008233045291,0
0.848008233045528,0
0.848008232978701,0
0.848008233045528,0
0.848008233045521,0
0.848008233045528,0
0.848008233045528,0
0.848008233045528,0
4.33613659632169e-45,0
0.848008233045528,0
0.848008233045528,0
6.67775595721049e-94,0
0.848008232254846,0
0.848008233045215,0
0.848008233045528,0
0.848008232222226,0
8.31080637059705e-82,0
6.22569745916986e-95,0
8.78851933872254e-37,0
6.22569745916491e-95,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.74854976458163e-37,0
8.78851933872254e-37,0
8.78851996594291e-37,0
0.848008233044134,0
0.83369466381596,0
8.78851935281764e-37,0
8.78851933907711e-37,0
8.78851933872254e-37,0
1.4605905268112e-28,0
8.78853076221954e-37,0
9.68168466295881e-24,0
0.848008233045094,0
1.24345239623748e-26,0
9.62193404125137e-24,0
8.78851933872304e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.79099080942101e-37,0
9.63378171699344e-24,0
8.78851933872254e-37,0
6.8302825677306e-82,0
0.848008233045528,0
0.848008233045528,0
0.84800823304552,0
0.848008020923095,0
8.78851958471842e-37,0
0.848008233044796,0
8.78851933872316e-37,0
8.78851936717589e-37,0
8.16237773014264e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933871454e-37,0
8.7885193387319e-37,0
4.00344318927095e-35,0
6.83028256773351e-82,0
6.83028256773332e-82,0
0.848007946577158,0
0.848008233045528,0
0.848008233045528,0
0.848008139271758,0
0.848008233045528,0
0.919406597998394,0
0.848008203303475,0
9.64464783505223e-24,0
8.88737221060965e-37,0
6.8302825677306e-82,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933864985e-37,0
8.78851933872254e-37,0
1.06569699159661e-94,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
6.22569745916491e-95,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
5.65207447999309e-94,0
6.8302825677306e-82,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
6.22569745916491e-95,0
8.78851933872254e-37,0
8.78851933872491e-37,0
8.78851798364978e-37,0
6.22569745916827e-95,0
8.78851933924284e-37,0
8.78851933872254e-37,0
6.22569745916508e-95,0
8.78851933872254e-37,0
6.22569745916491e-95,0
6.22569745916491e-95,0
6.22569745916491e-95,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
6.22569745916491e-95,0
6.22569745916491e-95,0
6.22569745916491e-95,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
6.22569745916491e-95,0
1.76846869396282e-79,0
6.22569745916491e-95,0
8.78851933872254e-37,0
6.22569745916491e-95,0
8.78851933872254e-37,0
6.22569745916491e-95,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78852010585685e-37,0
0.848008233045486,0
8.7886021522994e-37,0
6.22569745916491e-95,0
0.848008233045484,0
0.848008233045526,0
0.847496291615411,0
0.846314539741758,0
0.181111009471732,0
8.78851933872254e-37,0
1.76846869396282e-79,0
1.76846869396282e-79,0
6.22569745922135e-95,0
8.78851933873065e-37,0
6.22569745916491e-95,0
8.78851933872254e-37,0
6.2257585985931e-95,0
6.22569745916491e-95,0
6.22569745916491e-95,0
8.790039382107e-37,0
6.22569745916491e-95,0
6.22569745916491e-95,0
6.22569745916491e-95,0
8.78851933872254e-37,0
6.29207438398703e-95,0
6.22569745917163e-95,0
0.848007823716965,0
0.848008233045528,0
0.848008231985755,0
1.76846869406073e-79,0
6.22569880887116e-95,0
3.95229003257937e-58,0
0.846194579671126,0
0.848005601315535,0
8.78851933872254e-37,0
6.22569745916491e-95,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
6.22569745916491e-95,0
6.22569745916491e-95,0
0.848008233042607,0
0.848008233045528,0
0.475822403867556,0
8.78851933872254e-37,0
6.22569745916491e-95,0
8.91965569495092e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
6.22569745916491e-95,0
8.78851933872254e-37,0
6.22569745916491e-95,0
8.78851933872254e-37,0
8.78851933872516e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933869618e-37,0
6.22569745916491e-95,0
8.78851933872254e-37,0
6.22569746299647e-95,0
6.22569745916491e-95,0
8.78851933872254e-37,0
6.22569745916491e-95,0
6.22569745916491e-95,0
8.78851934130593e-37,0
8.78851933894947e-37,0
6.22569745916491e-95,0
8.78851933872653e-37,0
8.09190017455996e-37,0
8.78854662789957e-37,0
8.78851933917502e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
6.22569745916491e-95,0
6.22569745916491e-95,0
6.22569745916491e-95,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
6.22569745916491e-95,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78852068507015e-37,0
8.78851934016442e-37,0
8.78851933872254e-37,0
8.78852075868072e-37,0
8.78851934005077e-37,0
8.78851297522109e-37,0
6.22569745916491e-95,0
6.22569745943811e-95,0
6.22569745916491e-95,0
8.78851933872254e-37,0
8.78851933761686e-37,0
6.22569745916491e-95,0
8.78851933872254e-37,0
8.79001412498072e-37,0
8.78851933872254e-37,0
6.22569745916491e-95,0
1.47785062323878e-36,0
8.78852060387923e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
6.22569745916491e-95,0
6.22569745916491e-95,0
6.22569745916491e-95,0
6.22569745916491e-95,0
6.22569745916491e-95,0
6.22569745916491e-95,0
8.78851933872254e-37,0
6.22569745916491e-95,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872241e-37,0
8.78851933872254e-37,0
6.22569745916491e-95,0
8.78838431202182e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933834061e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
6.22569804169837e-95,0
8.78851933872254e-37,0
6.22569745916491e-95,0
6.22569745916491e-95,0
6.22569745916491e-95,0
6.22569745916491e-95,0
6.22569745916491e-95,0
6.22569746385218e-95,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
6.22569745916491e-95,0
6.22569745916491e-95,0
8.78851933872254e-37,0
8.78851933872254e-37,0
6.22569745916491e-95,0
6.22570262464424e-95,0
8.78851933872254e-37,0
6.22569745916491e-95,0
8.78851933872254e-37,0
6.22569745916491e-95,0
8.78851933872254e-37,0
6.22569745916491e-95,0
8.7885193377525e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
6.22569745921056e-95,0
8.78851933872254e-37,0
6.22569745916491e-95,0
6.22569745916491e-95,0
1.32302570821316e-94,0
8.78851933872254e-37,0
8.78851933872241e-37,0
8.78851933872254e-37,0
8.78851933659125e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
6.22569745916491e-95,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
9.80756852066972e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
0.848008161022804,0
8.78852110917162e-37,0
6.22569745916491e-95,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933962838e-37,0
0.848008233045235,0
8.78851933872254e-37,0
6.22569745916491e-95,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
6.22569745916491e-95,0
8.78851933872254e-37,0
8.78851933872953e-37,0
2.42156273499446e-32,0
0.845262354350991,0
8.78852027354099e-37,0
1.35741983812329e-19,0
0.848007828032271,0
2.5840065147345e-12,0
8.78851933872254e-37,0
8.7889461491512e-37,0
0.848008233045528,0
0.848008233045528,0
0.848008232985474,0
0.848008233045528,0
0.846746557323764,0
5.47603693397131e-36,0
0.848008231429868,0
8.81179943349161e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
6.22569745916491e-95,0
8.78851933872254e-37,0
8.78851920305857e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872391e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
6.27864686385452e-95,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78852058400485e-37,0
8.78851933887678e-37,0
6.22569748801808e-95,0
8.78851933874439e-37,0
8.78851933872254e-37,0
8.78854018078033e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
6.22569745916491e-95,0
6.22569745916491e-95,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.9489706254558e-37,0
8.78853915294496e-37,0
0.84741708860462,0
0.844588644869191,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78854383602754e-37,0
8.78852056905611e-37,0
8.78851933872254e-37,0
8.78851936574737e-37,0
8.78851935846165e-37,0
8.78852957999638e-37,0
0.295122844844845,0
8.78962363659413e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933819886e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933832226e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933874851e-37,0
8.78851933872254e-37,0
8.79130999179293e-37,0
8.78851933872291e-37,0
6.22569745916491e-95,0
6.22569745920136e-95,0
8.78851933872291e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
6.2259828824498e-95,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.7885193387379e-37,0
0.847967898888086,0
1.90717191644151e-36,0
8.78851933872254e-37,0
1.17502423480955e-28,0
8.78851933872254e-37,0
1.17502422885799e-28,0
8.78851933872254e-37,0
8.78851933872254e-37,0
1.17502423416562e-28,0
1.17461139180745e-28,0
8.78851933872254e-37,0
1.17502423480955e-28,0
8.78851933872254e-37,0
7.64517235864906e-36,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.11640368285013e-37,0
9.55164420306779e-37,0
6.22569745916491e-95,0
1.17502249024983e-28,0
4.25633667260646e-36,0
1.48790247639188e-87,0
1.17502423480955e-28,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
1.17502387256706e-28,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
6.22569745916491e-95,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
1.17502423480871e-28,0
1.1739432123939e-28,0
8.78851933872254e-37,0
1.17502423480699e-28,0
1.0556943270824e-28,0
8.79080185308792e-37,0
1.17502423480955e-28,0
2.58508175381229e-23,0
0.999999998659432,0
9.51956293149414e-37,0
6.22569745919039e-95,0
1.17502423480955e-28,0
1.17502511888846e-28,0
1.16966164363303e-28,0
8.78851933876925e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872304e-37,0
8.78851933872254e-37,0
9.57600324671457e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
0.848008922330017,0
1.29264322305744e-36,0
5.97042161940224e-28,0
0.172748038469151,0
0.848008233045527,0
0.999999998659406,0
8.78852287568995e-37,0
0.999999998659432,0
0.848008233045527,0
0.999999998659432,0
1.49810106797285e-28,0
1.17502434707538e-28,0
1.17502120667113e-28,0
8.78851933872441e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851946252435e-37,0
8.79114165075577e-37,0
2.20393663042155e-35,0
8.21017805826236e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.7321746373856e-37,0
8.78851933872341e-37,0
8.78851933872254e-37,0
0.633099018040658,0
8.7885193439845e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872279e-37,0
8.85642716964818e-37,0
8.78851933872353e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.80296986705952e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933872254e-37,0
8.78851933931328e-37,0
8.78851933872254e-37,0
0.847982790538247,0
0.740395975386513,0
0.846918467291062,0
0.848008233045528,0
0.848008233045528,0
0.848003875732434,0
0.848008233041598,0
0.848008233045528,0
0.848008233045528,0
0.84800817051485,0
8.78882766665168e-37,0
0.842767974770971,0
0.848008233043292,0
0.848007864853839,0
0.848008233043505,0
0.848008233027725,0
0.848008233045527,0
0.848008233045528,0
0.848008233045528,0
0.848008233045528,0
0.848006645791916,0
8.78852146461689e-37,0
8.78851955527567e-37,0
0.847912502838758,0
6.22748498157215e-95,0
0.745763825348894,0
0.848008233045528,0
0.84800822915468,0
0.848008232871334,0
0.848008233045528,0
0.848008233045528,0
0.848008233045528,0
0.848008233045527,0
0.848008233045528,0
0.848008097821183,0
8.78851933873527e-37,0
0.848008232896081,0
0.848007814405859,0
0.0276737159882679,0
8.78851933872241e-37,0
8.78852135190512e-37,0
0.848008233045528,0
0.848008233045528,0
0.848008233045528,0
0.832280967200118,0
9.3331232712522e-06,0
0.848008233045528,0
0.848008202216662,0
0.805751157902572,0
0.84800822781236,0
8.78851938050678e-37,0
8.78851933872254e-37,0
8.79015842570364e-37,0
0.848007866226395,0
9.24020591877938e-37,0
0.848008233045528,0
0.836240723796193,0
0.175083411190398,0
0.00266157667146616,0
0.84800801007454,0
8.81973964502172e-37,0
8.78851933872254e-37,0
6.22569745916491e-95,0
8.78859148701457e-37,0
0.84800823299908,0
