"","V1"
"Sensitivity",0.846385508818938
"Specificity",0.564550037299093
"Pos Pred Value",0.748509209121975
"Neg Pred Value",0.705889003518987
"Precision",0.748509209121976
"Recall",0.846385508818938
"F1",0.794444098023321
"Prevalence",0.604937720334272
"Detection Rate",0.512010520228891
"Detection Prevalence",0.684040375173867
"Balanced Accuracy",0.705467773059016
